ID,Title,Link,Publication Date,Conference/Journal
S1,An empirical study on the effectiveness of large language models for SATD identification and classification,https://link.springer.com/article/10.1007/s10664-024-10548-3,out./2024,Empirical Software Engineering
S2,Automated Generation of Code Contracts: Generative AI to the Rescue?,https://dl.acm.org/doi/abs/10.1145/3689484.3690738,out./2024,GPCE 2024: Proceedings of the 23rd ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences
S3,Automatic commit message generation: A critical review and directions for future work,https://ieeexplore.ieee.org/abstract/document/10433002/,fev./2024,IEEE Transactions on Software Engineering
S4,Automatic smart contract comment generation via large language models and in-context learning,https://www.sciencedirect.com/science/article/pii/S0950584924000107,abr./2024,Information and Software Technology
S5,Automatically inspecting thousands of static bug warnings with large language model: How far are we?,https://dl.acm.org/doi/abs/10.1145/3653718,jun./2024,ACM Transactions on Knowledge Discovery from Data
S6,Automatically Recommend Code Updates: Are We There Yet?,https://dl.acm.org/doi/abs/10.1145/3678167,dez./2024,ACM Transactions on Software Engineering and Methodology
S7,Can developers prompt? a controlled experiment for code documentation generation,https://ieeexplore.ieee.org/abstract/document/10795104/,out./2024,2024 IEEE International Conference on Software Maintenance and Evolution (ICSME)
S8,Code summarization without direct access to code-towards exploring federated llms for software engineering,https://dl.acm.org/doi/abs/10.1145/3661167.3661210,jun./2024,EASE '24: Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering
S9,Effectiveness of chatgpt for static analysis: How far are we?,https://dl.acm.org/doi/abs/10.1145/3664646.3664777,jul./2024,AIware 2024: Proceedings of the 1st ACM International Conference on AI-Powered Software
S10,Evaluating generative language models with prompt engineering for categorizing user stories to its sector domains,https://ieeexplore.ieee.org/abstract/document/10544242/,abr./2024,2024 IEEE 9th International Conference for Convergence in Technology (I2CT)
S11,Evaluating Source Code Quality with Large Language Models: a comparative study,https://dl.acm.org/doi/abs/10.1145/3701625.3701650,dez./2024,SBQS '24: Proceedings of the XXIII Brazilian Symposium on Software Quality
S12,Exploring large language models for method name prediction,https://ieeexplore.ieee.org/abstract/document/10684588/,jul./2024,"2024 IEEE 24th International Conference on Software Quality, Reliability and Security (QRS)"
S13,Fight fire with fire: How much can we trust ChatGPT on source code-related tasks?,https://ieeexplore.ieee.org/abstract/document/10745266/,nov./2024,IEEE Transactions on Software Engineering
S14,Formal requirements engineering and large language models: A two-way roadmap,https://www.sciencedirect.com/science/article/pii/S0950584925000369,fev./2025,Information and Software Technology
S15,GPT-Powered Elicitation Interview Script Generator for Requirements Engineering Training,https://ieeexplore.ieee.org/abstract/document/10628455/,jun./2024,2024 IEEE 32nd International Requirements Engineering Conference (RE)
S16,Hints for generative AI software development,https://ieeexplore.ieee.org/abstract/document/10629164/,ago./2024,IEEE Software
S17,How secure is AI-generated code: a large-scale comparison of large language models,https://link.springer.com/article/10.1007/s10664-024-10590-1,dez./2024,Empirical Software Engineering
S18,Icing on the Cake: Automatic Code Summarization at Ericsson,https://ieeexplore.ieee.org/abstract/document/10795074/,out./2024,2024 IEEE International Conference on Software Maintenance and Evolution (ICSME)
S19,Landscape and Taxonomy of Prompt Engineering Patterns in Software Engineering,https://ieeexplore.ieee.org/abstract/document/10893869/,fev./2025,IT Professional
S20,Large language model based mutations in genetic improvement,https://link.springer.com/article/10.1007/s10515-024-00473-6,jan./2025,Automated Software Engineering
S21,Large language models for software engineering: Survey and open problems,https://ieeexplore.ieee.org/abstract/document/10449667/,mar./2024,2023 IEEE/ACM International Conference on Software Engineering: Future of Software Engineering (ICSE-FoSE)
S22,Lessons from building stackspot ai: A contextualized ai coding assistant,https://dl.acm.org/doi/abs/10.1145/3639477.3639751,mai./2024,ICSE-SEIP '24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice
S23,Leveraging llms for the quality assurance of software requirements,https://ieeexplore.ieee.org/abstract/document/10628462/,ago./2024,2024 IEEE 32nd International Requirements Engineering Conference (RE)
S24,Look Before You Leap: An Exploratory Study of Uncertainty Analysis for Large Language Models,https://ieeexplore.ieee.org/abstract/document/10820047/,jan./2025,IEEE Transactions on Software Engineering
S25,On the evaluation of large language models in unit test generation,https://dl.acm.org/doi/abs/10.1145/3691620.3695529,out./2024,ASE '24: Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering
S26,On the reliability and explainability of language models for program generation,https://dl.acm.org/doi/abs/10.1145/3641540,jun./2024,ACM Transactions on Software Engineering and Methodology
S27,On the use of large language models in model-driven engineering,https://link.springer.com/article/10.1007/s10270-025-01263-8,jan./2025,Software and Systems Modeling
S28,Reasoning and planning with large language models in code development,https://dl.acm.org/doi/abs/10.1145/3637528.3671452,ago./2024,KDD '24: Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining
S29,Refining chatgpt-generated code: Characterizing and mitigating code quality issues,https://dl.acm.org/doi/abs/10.1145/3643674,jun./2024,ACM Transactions on Software Engineering and Methodology
S30,"Software testing with large language models: Survey, landscape, and vision",https://ieeexplore.ieee.org/abstract/document/10440574/,fev./2024,IEEE Transactions on Software Engineering
S31,Understanding Defects in Generated Codes by Language Models,https://ieeexplore.ieee.org/abstract/document/10837857/,jan./2025,2024 34th International Conference on Collaborative Advances in Software and Computing (CASCON)
S32,When neural code completion models size up the situation: Attaining cheaper and faster completion through dynamic model inference,https://dl.acm.org/doi/abs/10.1145/3597503.3639120,abr./2024,ICSE '24: Proceedings of the IEEE/ACM 46th International Conference on Software Engineering
